id: 1292328    name: 东邪西毒
id: 1293181    name: 惊魂记
id: 1293318    name: 萤火虫之墓
id: 1309055    name: 哈利·波特与火焰杯
id: 1978709    name: 黑天鹅
id: 27622447    name: 小偷家族
id: 6534248    name: 无敌破坏王
id: 4848115    name: 你看起来好像很好吃
id: 1300374    name: 绿里奇迹
id: 1291578    name: 冰川时代
id: 10808442    name: 爱在午夜降临前
id: 1291870    name: 雨人
id: 1297518    name: 九品芝麻官
id: 1862151    name: 疯狂的石头
id: 1309163    name: 恋恋笔记本
id: 3011051    name: 恐怖游轮
id: 1293460    name: 雨中曲
id: 1307811    name: 魔女宅急便
id: 26787574    name: 奇迹男孩
id: 25980443    name: 海边的曼彻斯特
id: 1296909    name: 虎口脱险
id: 1828115    name: 色，戒
id: 1292226    name: 2001太空漫游
id: 26430107    name: 二十二
id: 1302827    name: 人工智能
id: 1293908    name: 城市之光
id: 25724855    name: 房间
id: 1308857    name: 可可西里
id: 1291879    name: 罗生门
id: 1291844    name: 终结者2：审判日
id: 4739952    name: 初恋这件小事
id: 27059130    name: 大佛普拉斯
id: 1867345    name: 遗愿清单
id: 5300054    name: 波西米亚狂想曲
id: 1292329    name: 牯岭街少年杀人事件
id: 1293964    name: 魂断蓝桥
id: 3075287    name: 源代码
id: 1292287    name: 新龙门客栈
id: 1303394    name: 青蛇
id: 3592854    name: 疯狂的麦克斯4：狂暴之路
id: 1438652    name: 无耻混蛋
id: 1428175    name: 血钻
id: 2222996    name: 步履不停
id: 1295865    name: 燃情岁月
id: 3443389    name: 海洋
id: 1310177    name: 东京教父
id: 1308767    name: 谍影重重2
id: 1937946    name: 穿越时空的少女
id: 25807345    name: 彗星来的那一夜
id: 1307106    name: 无间道2
id: 1305690    name: 阿飞正传
id: 1419936    name: 战争之王
id: 2363506    name: 地球上的星星
id: 26614893    name: 完美陌生人
id: 1304102    name: 谍影重重
id: 1760622    name: 香水
id: 1300117    name: 千钧一发
id: 1304141    name: 黑客帝国2：重装上阵
id: 1291568    name: 东京物语
id: 1959877    name: 崖上的波妞
id: 5908478    name: 我爱你
id: 6874403    name: 再次出发之纽约遇见你
id: 2213597    name: 朗读者
id: 25921812    name: 驴得水
id: 25954475    name: 聚焦
id: 1292528    name: 猜火车
id: 2297265    name: 浪潮
id: 26393561    name: 小萝莉的猴神大叔
id: 1397546    name: 追随
id: 1291824    name: 黑鹰坠落
id: 27615441    name: 网络谜踪
